userName,content,score,sentimen,sentimen_encoded
Muhammad Wahyu,maaf seblom maksud guna akun drive maxsim klau ketgasan skck sim kali order food order fiktif kadang beli nmor aktif pas beli tinggal eh kensel bijak tidak tegas kembali ganti rugi nama rugi driver orang lari drive maxim lari gojek jamin,1,Tidak Puas,2
Rian Maulana,top,5,Puas,1
Sajarah Sajarah,kadang terima driver batalin,4,Tidak Puas,2
Chrisna Murthry,min voucher bayar bayar driver kecewa,2,Tidak Puas,2
The Queen,bagus cuman beli merchant brg enggk uang,2,Puas,1
Satria S Dg Situju,ok,5,Puas,1
Aisah Alijaya,driver ngasih estimasi menit pas menit kendara tuh bagus,2,Puas,1
Ester Kumajas,kali download apk maxim skg kayak,4,Netral,0
adi jhons,isi caspro lambat masuk masuk,1,Tidak Puas,2
Atiriani Waruwu,keren,5,Netral,0
Paulus Ganteng,drivermu prioritas aneh aneh heran akun maxim isi orang pilih,1,Tidak Puas,2
Ayunda intan Aryani,maxim klo pilih driver seleksi ya pesan maxim drivernya kaya preman driver pake helm driver nganter customer dengarin musik headset pake jaket tolong seleksi ya,1,Tidak Puas,2
Hasbi Syukri,good,5,Puas,1
Nur Syamsiyah,kali coba isi saldo maxim kaspro masuk saldo mohon tindak lanjut kecewa saldo masuk,1,Tidak Puas,2
Kholil sanjaya,,5,Netral,0
髮Kιʏoтᴀκᴀ. (Kaze),plss adain fitur krim foto,3,Netral,0
zehan alazzikra,kode busuk,1,Netral,0
Rahmat Hidayad Lubis,tolong bikin aplikasi,2,Tidak Puas,2
Amelia Syifa Fauziah,aplikasi sampah tipu,1,Tidak Puas,2
Rahman Abd,mantap,5,Puas,1
Hairu Lloh,bagus,4,Puas,1
Hasan,thks maxim jasa harga,5,Puas,1
Idris Venus,konyol order kode rtp mele,1,Netral,0
Dede Imut,ko mendotar ya,4,Netral,0
Angel Audilia putri,hujan supirnya kayak taiikkk bayar numpang,1,Netral,0
Nadia,kang ojek mes atitud mes akhlak dn tanggung kang ojek doang mandang fisik kyk ganteng aj,1,Netral,0
Almira Riska,jelek banget kendara gila mabok ac gw memey puki banget astaga fukkc,1,Tidak Puas,2
Yuka Nuriah Arinta,pake nomor hp gabisa otp tolong baik butuh bgt gin deh maxim,3,Puas,1
skyal Mondy,bayak tipu,1,Netral,0
Gaskan Saja,aplikasi buruk lambat kerja tunggu pesan ojek motor tikung rumah ojek maxim kasi ojek maxim,1,Tidak Puas,2
Agung Supriatna,maps akurat kota,1,Netral,0
Inggit Anggraini,kasih ratingnya tolong tinjau sikap perilaku driver yaa jgn belaguuu kalo cape driver kerja tidur rumah nama kerja semuaaa capee bang kalo capee tidur dirmh jgn kerja sampe diturunin pinggir jalan drivernya mau sesuai titik kadang titik maxim sesuai titik beda meter anter drivernya najissss latih deh ya maxim biar performa turun model driver maless,1,Tidak Puas,2
Ngatini,apas oon bgt login apknya gadapet kode nomor sesuai,1,Netral,0
Rafa Rizqulloh,ui tarik kasih saldo pake,1,Netral,0
naira putri,dapet driver bener bener gajelas marahin nuker uang driver bener bener gasopan ngedumel marahin pergi kabur hak driver maxim marahin sayaa costumer bayar gratis tpi mya si driver numpang dikatain gausa sekolah sekolah sma driver maxim temu sreg hati maxim tu gimana,1,Puas,1
prabu indra Lesmana,cs ramah,1,Netral,0
andra tnunay01,kantor maxim sedia sewa motor listrik ojek online,5,Netral,0
Ikbal Aditia Maulana,suka aplikasi maxim ojek transportasi pt sito,5,Netral,0
Nino Raffie,susah kali cari order pesan terima,5,Tidak Puas,2
Netty Spd,aplikasi maxim ojek transportasi pt sito,5,Netral,0
AweL 999,ongkos murah aman jalan,5,Netral,0
Indra Jaya,aplikasi bikin pusing susah nyari titik maps,1,Tidak Puas,2
Ricki Vickris,maxim mobil delevery parkir persis depan toko maxim bangka belitung pangkalpinang bantu konsumen angkat barang mobil suruh sendri angkat ramah,1,Netral,0
nuri Maulida Hasanah,kecewa maxim seko maxim sekolah saldo maxim pulang sekolah maxim saldo sampe tuju uang ganti bayar saldo ribu uang sekolah uang sekolah habis karna bayar maxim,1,Tidak Puas,2
Irfan Rujani,nginap hotel pelangi banjarmasin order makan nerima,1,Netral,0
Fatimah,driverrr jelekk banget berangkat grab lokasi pas maxim biaya tambah bayar ayah ku sampe adu bacot ama driver trus klo ajak ngobrol pas jalan tangepin beda banget ama driver grap ramah ngeselin banget abis pulang capek trus adu bacot ama driver gilakk jelek benget layan driver preman,1,Tidak Puas,2
AZIZAH MAYANG,aplikasi bagus,5,Puas,1
Gandi Alim,peta maxim kacau kirim alamat kecewa maxim rubah bintang map baik,1,Tidak Puas,2
arfin arahim,scam dapet,1,Tidak Puas,2
Rio Oktimas,,5,Netral,0
Luh putu mutiara Dewi Mutiara dewi,php innnn ihhh dasarrrr,1,Netral,0
Pandi Putra jaya,bantu,5,Netral,0
Fatih Rasendra,goblo sistem gw daftar g masuk masuk kode otp anj,1,Netral,0
Andra Nur Syifa yoga Permana,kasih bintang harga turunin harga maxim,3,Netral,0
JONI HP,top kaspro masuk masuk,5,Puas,1
Tata Xvarzz,apk kirim kode,1,Netral,0
Nyaho Sia,semenjak bawa pulang orang sakit paska rawat inap car maxim online satu nerima semenjak order alih aplikasi hijau respon cepat efisien,1,Netral,0
09_ Deva Zaskia,bagus,4,Puas,1
Victor Gaming,lokasi sesuai sulit temu lokasi pas karna map sesuai,2,Tidak Puas,2
Sii Otet's,akun buka salah order parah aplikasi pdahal gin,1,Tidak Puas,2
Rusni Yusram,aplikasi kaspronya amburadul pake bayar kas pro masuk driver bayar tunai kaspronya potong bayar dobel kaspro tunai hubung driver riwayat chat driver,1,Tidak Puas,2
Rian Edo,apk nyocot ribet masukin kode otp notif pake kereset telat,1,Netral,0
Frans Lavina,,5,Netral,0
anindira nepi,,5,Netral,0
Darman Yusuf,kren,4,Netral,0
Zif Asli,perfect,5,Puas,1
Kasianto Jokam,mf ya tarif aplikasi murah turun jd pakai maxim bandara jkt,1,Netral,0
Oxana Angel,map lengkap,2,Netral,0
tofik kasrun,banyakin promonya,5,Netral,0
Deden Japarr,mantaaap,5,Netral,0
Desta Supriandi,,5,Netral,0
jemi aja,ngelag gabisa masuk nomer,1,Tidak Puas,2
BakriSibali Bakri,bantu,5,Netral,0
Ngapak Gaming,titik lokasi kadang ngr bug,2,Tidak Puas,2
Devi Dwi Saputri,order masuk nomor hp masuk tampil kode kirim nomor hp kode masuk pesan nomor hp ku pilih opsi terima kode telpon telpon masuk terima dengar suara apa mohon bantu asap,1,Netral,0
Berkah melimpah,driver ngeselin,1,Netral,0
Wandi Rahmayanto,tolong tingkat layan admin login susah kali kode login aplikasi rame minat parah,1,Tidak Puas,2
Adif Laksana,problem susah banget kaspro jam inj masuk kendala spt tolong baik,1,Tidak Puas,2
Namira Aulia Bungaadjim,tolong baik app order makan layar app ngebug cari terima pesan layar mes makan pas layar utama terima order chat wa double order uang bayar tida minjem tmn tolong upgrade,1,Puas,1
Muhammad Muhammad,parah maps apk,5,Tidak Puas,2
hai semuanya,kesel bgt sm layan drivernya maxim kl ngasih promo pastiin jg ojolnya g rugi iya protes ngeluh murah tarif kl bkin promo tu ya cust makek promonya krna potong referral protes jg gbsa ngatur tarif sumpah gedeg bgt kayak gin mending apus promonya plg ngeselin tu kdg diakalin tarif dr jd kl tip servicenya jelek krn bohongin,2,Tidak Puas,2
Gratia Queenester,aplikasi bagus murah suka,5,Puas,1
Stiven Pudikarang,aplikasi bodoh kode verifikasi ngk timbul baik aplikasi,2,Puas,1
Rasya Wijaya,isi ewalet masuk,1,Netral,0
Upin ipon,login otp muncul,1,Netral,0
Alexis Yulianto,tipu apl maxim order,5,Netral,0
Alkansah Ariska,maaf saran alamat perinci susah nyarinya diturunin sampe sasuai,3,Tidak Puas,2
Veranita,cari driver anter barang dapet dicancel krn driver e wallet kali ken tunai haru driver donk kaya gojek grab nolak kl pakai gopay ovo,2,Netral,0
RedSkins LastWar,suka pake bonus niat kasih bonus rupiah bikin program tipu,1,Puas,1
hanya belanja,good job,5,Puas,1
Muji Yanto,dar masuk maps koordinat alamat kadang ngak maps,4,Tidak Puas,2
Yudi Hidayat,maxim kesini gue login pake nomer gue masuk masuk ngirim kode otp redup lu maxim jelek apk,1,Tidak Puas,2
aby gun,gw topup bayar non tunai tpi pas mes makan bisah pakek saldo maxim aneh sya ngerti karna tdk pnjelasan tincihan apk maksim apakh klo daerah fitur bayar nontunainya aktif kayak gin jdi bisah makan uang masuk saldo tarik beli makan jg bisah mndingan jalan sndiri beli warung byar qriss nyesel gw maxim karma laku ya,1,Tidak Puas,2
Gream Xanzz,suka suruh tambah duit cepat anjir klo gitu mulu nolak duit hdehh hapus sistem,1,Netral,0
Maulana Ar ridwan,muas,5,Netral,0
Domi Yumai,,5,Netral,0
Gia Setiawan,moga taripnya murah biar hrmat okos slm sehat sukses amin,5,Netral,0
yuliana afifah alydrus,harga ny jangkau order ny,5,Netral,0
Tegoh 13,mantap,5,Puas,1
Hanif Yudhi Pratama,order fiktif kasi driver juang jaga etika driver tolong user tumpang order fiktif cari uang amanah order fiktif jaga agama alam kubur tagih malaikat cam ya,5,Tidak Puas,2
ADLI MARTA,capek elok,5,Tidak Puas,2
Adɪ ɴʋɢʀɵʜɵ,abang genit banget tumpang cewek tolong sop tingkat lagi maxim,1,Tidak Puas,2
Delsi mahmud,maxim ya kode otp mah eror sen stag jalan jalan abang gimna nih kode otpnya donk,5,Netral,0
Iwan Setiawan,aplikasi order,1,Netral,0
Jihan shoofi manan,senggol mobil maxim karna mud hati hati temen tunggu jemput sekolah smk batam cat calling driver motor maxim,1,Netral,0
Muhammad Royhan Ramadhan,driver upah bayangin order lokasi tetep ambil upah tolong naik saldo minim jarak ling deket,2,Tidak Puas,2
Jackal Sika,good,5,Puas,1
vayfel evfron,saldo akun nd beking tacolo orang,1,Netral,0
Yasintaprenu Prenusinta,,5,Netral,0
Mayang Mey,plis dgedein dibedain tanda driver maps liat kak,3,Netral,0
Dwi Agustina,cool,5,Puas,1
Ajiss Lz,tk bise daftr gedok,1,Netral,0
Label Preloved,mantap moga maxim ternate maju jaya,5,Puas,1
lokong ae,order fiktif rajalela mohon baik guna per kontak hubung banyak order hubung nomor tlp,2,Puas,1
Nur Aini,,5,Netral,0
Eka Pramuning dita,mantap murah,5,Puas,1
Rina,mobil mahal hujan tolong sedia fitur blokir blokir driver suka jujur nyaman kemudi motor wartawan,3,Tidak Puas,2
Anugrah Anugrah,tolong maxim pas ngasih titik lokasi tuh bener nunggu menit gara driver muter muter rugi banget tolong baik driver tau jalan minimal buka google map patok map maxim,1,Tidak Puas,2
Gustiantie Pue,good driver good service,5,Puas,1
Shilfa irziani Kamal,males taun taun pake kirain maju ngga driver maju maju rumah org kerja telat,3,Netral,0
mr jo,masuk order maxim kendara motor busuk driver bau,1,Netral,0
Agus Sutrisno,puas,5,Puas,1
Dolip Firmansah,good,5,Puas,1
erfandra erlang,overall bagus woi notifnya bikin jantung,2,Puas,1
Adi Pamungkas,ok,5,Puas,1
erwan sanusi,tau karna gue kasih bintang karna kode otp ny eror masuk apk cocok mending pakek grab,1,Netral,0
Wilbert Huang,jujur banget kecewa banget cs sikap driver lebih argo,1,Tidak Puas,2
Rijwan muhamad,sen ade gada fitur batak kocak biar orang orang kalo pencet dibatalin sen kirim mutlak,1,Netral,0
Diya sakdiya,ok,5,Puas,1
GuP Gocoor,aplikasi ko delay mintak kode verifikasi bikin susah nomor bener,1,Tidak Puas,2
Afrita Bili,bgss,5,Netral,0
Tuti Lestari,ok,4,Puas,1
PUTRRA MITRA86 Sks,ok,5,Puas,1
Vlaska Lovnia,aplikasi ya selesai order end trip order otomatis ya hp lock,1,Netral,0
Paris Paris,per online harga,1,Netral,0
Ganteng Keren,ok,5,Puas,1
YULI LIYU,maxim nomor hp terus daftar tolong baru lg,1,Tidak Puas,2
Netizen Jaya,aplikasi kejam driver numpang iklan gede gedein kasih tip stiker untung keruk maxim driver mesin atm,1,Netral,0
Ariyanto Ari,murah sesuai transportasi butuh masyarakat,5,Netral,0
Adea Putri,mohon maaf kasi bintang dapet driver baik ya pelayanannyaaa,1,Puas,1
Viv Dya669,maxim driver bandara soetta bayar online bayar tol bayar ribu biaya akomodasi driver konyol abis hapus riwayat nih drivernya,2,Netral,0
Rico Hadi Febrian,bantu,5,Netral,0
Sampang Berutu,order langsung dpt driver bgt jemput gerak menit map gerak chat cancel driver cash pdhl sya pake sistim kaspro rugi driver,1,Tidak Puas,2
Bumi,buka aplikasi lamo,1,Netral,0
Ameliarossi,sya order maxim bike rute smpe kdang sya khawatir klo psesnin ank takut bawa kabur ank sya klo pas ambil order jngan mati rute pantau hp,3,Tidak Puas,2
Ady Chandra,kirim kode otp via sms gagal kali gagal dah aplikasi da opsi laen,1,Tidak Puas,2
Ratih Putri C,otp tolong baik kesini otp,2,Puas,1
Andika Zidan,map gajelas,2,Tidak Puas,2
Asril Beleng,mama,1,Netral,0
Sarah Setya Priliani,aktivasi akun kirim kode sms pake opsi telepon angkat dimatiin nyoba bbrp kali kirim kode habis,1,Netral,0
Agung Tri,cs tanggap tang komplain custamer lapor komplain selesai form lapor tutup layan jasa,1,Netral,0
Muhammad Al kahfi,kecewa driver pilih jalur kena macet tambah argo resiko cari nafkah jalan alas cancel order alas bawa tumpang estimasi nunggu,1,Tidak Puas,2
Bayi Poker,ramah,5,Netral,0
Abang Ucok,bagus,5,Puas,1
Siska Depi,baguss maxim,5,Netral,0
Ferdiansyah kurniawan,update baru hubung whatsapp map logo gojek hubung maxim hilang mohon kembali dl,5,Tidak Puas,2
Arol Madani,mntap,5,Netral,0
Gusni Karmila,maxim bantu lancar transpoortasi,5,Netral,0
Juji roh,login terang salah coba aneh gimana mo mesen,1,Tidak Puas,2
Joan Bubut,bagus,5,Puas,1
Windu Atmajaa,akun pakai masukin kode promo guna tolong fix pilih kasih woi,1,Puas,1
Azwar Hari Haputra,sopir anjink maling henset tinggal blok,5,Tidak Puas,2
Rus Mono,ny nyata ny mlh gojeg minta kode gtu kode ny mlh bikin,1,Netral,0
Ami Rahmita12,pungut biaya paksa jatohnya ngemis jijik manusia tau ngasih nunggu,1,Netral,0
Dini Asiap,,4,Netral,0
Chrmxix,aplikasi dongo,1,Netral,0
napitu rinto,order fiktip harap hapus sbb sampah aplikasi sengaja ordal,4,Tidak Puas,2
Syukri Ibnu Andy,login instal ulang app restart,1,Netral,0
Badrid Duja,okey,5,Netral,0
elsanayaa maheswari,g tau sistem gimana ak kaspro mbangking sukses apk g saldo,1,Netral,0
Amel sartika,babi kali driver mobil pes kali,1,Netral,0
ZOG iZue,mantap murah,5,Puas,1
Wahyu subuh,bagus murah,4,Puas,1
Iksan Rosa,aplikasi gajelas kode gamau kirim gimana makenya,1,Tidak Puas,2
Jusman Jusman,mantap aplikasi,5,Puas,1
Yus Yus,driver car arogan,1,Netral,0
Tio Ayal,aplikasi maxim bagus banget,5,Puas,1
Kang Ojol,tawarin instal maxim dapet bonus dipake auto uninstal deh,2,Puas,1
Wisma Manto,sompret titik fake cs salah naruh titik jemput nyusahin driver lol,1,Tidak Puas,2
Mufida Yahya Bazeid,akses aplikasi maxim login ganggu mohon bantu helpdesk coba nggak,1,Puas,1
Cleo Fisal,bagus cepat sampah ramah sopir,5,Netral,0
Iwan Collys,tepat jemput tingkat,5,Netral,0
Mohammad Dzikri Imam,pantes maxim car sepi banding aplikasi attitude drivernya bagus,1,Puas,1
wawe botox,asu maxim ribet daftar,1,Netral,0
Muhammad mujahid As-sajjad,nggak batal pesan driver cmn edit pesan,2,Netral,0
Syafa Almeisya,buruk jam kode otp masuk parah,1,Tidak Puas,2
Alya Rahma Salsabila,cari jemput,1,Netral,0
AFOE HAREFA,ok,5,Puas,1
Hari Ali,bagus,5,Puas,1
Dian Nisa,harga emang miring si g gw bahas nontunai bobrok bgt ribet top kaspro berkalikali masuk akun ku top ribet lg pake adm malesin bgt fix uninstall,1,Puas,1
Test 4321,ribet apl,1,Netral,0
Java Pari,ok,5,Puas,1
Indo Gtaa,b bb bbbbb j h,1,Netral,0
Maisie Petrina,jelek bangetttt sebenernya bagus kali banget dapet ojek trus minggu jam cari mobil maxim dapet dapet tunggu menit sampe jam kaga dapet dapet jugaa sampe ulang kali keren banget loh jelek ampun pdhl kasih cepat g ngaruhhh jelek,1,Tidak Puas,2
Opai Vakenzo,baik,5,Puas,1
Abdul Rojak,apknya bagus harga sesuai dalam manajemen aplikasi kirim kode nomor kirim tolong baik,2,Puas,1
Delfin Delfin,,5,Netral,0
Joko Mulyono,manatap,5,Netral,0
Rava Samuel,,5,Netral,0
Malah Kavadi,numpak,5,Netral,0
Bang And Sihite,order makan sulit mending hapus maxim kasih order prioritas donk biar tolak order drivernya sulit,1,Tidak Puas,2
Miftakhul Subekhi,baik peta alamat tutu,2,Puas,1
Joko Wahyudi04,sulit temu kemudi mes makan nunggu konfirmasi keburu laper kecewa deh,1,Tidak Puas,2
Denu Marwan,,5,Netral,0
angga 20,maxim food buka,5,Netral,0
MUHAMMAD SALEH,bagus,5,Puas,1
Mas Faruq,oke murah,5,Netral,0
Mbem Meledak,maxim bengkulu bnyak idak jujur sruh bli toko ngaku ny tutup pdhal buka,1,Netral,0
Yumas Shop,bagus driver tolak pakai kaspro genting uang cash tlong baik,2,Puas,1
Dani_ Official,susah banget code verif,1,Tidak Puas,2
Efootball el,tolong langgan maxim komitmen order transportasi maxim maxim order sepih kasi driver maxim hari gadapat order,5,Tidak Puas,2
SnakerS,nggak login,1,Netral,0
octa ramadhan,daftar,1,Netral,0
Erlangga Lintang,aplikasi jelek topup via bank bca uang bgt,1,Tidak Puas,2
Fahri Firmansyah,oke ribet pas order makan cari driver batalain ubah teruss pliss perbaikin,3,Netral,0
BUDIARTO budi,maxim keren murah cepat promo drivernya good,5,Puas,1
Ratna sari murni,nyaman cpt,5,Netral,0
Syahril Syah,murah aman nyaman tertib berlalulintas drivernya mitra jalan bertanggungjawab terimakasih,5,Netral,0
Liana Iswati,maxim topup kaspro error duit ilang njing,1,Tidak Puas,2
Asyifaolivia Safiraa,tolong kalo pesan makan siap uang talanganny tida ribet ba qris,3,Tidak Puas,2
Sigit Surya Bagus Setiawan,mancari laksana,2,Netral,0
shi kalem gamer amatir,kode otp nggk,1,Netral,0
Acaacaa,dasar curi uang orang,1,Netral,0
Malela Madya pramana,tolong betulin peta maps maps peta maps,5,Tidak Puas,2
Kang Trisno,good,5,Puas,1
martabak metro raya 16 c,mantap,5,Puas,1
Mayadi Ricardo,best,5,Puas,1
dewi kartikaa,tlong tarif ny normal dikit lh si tarif lonjak bnget dri kmrn jalan dipatal dijadiin arah lgi tarif notak bnget deh nunggu draiver ny tambah tarif jga,1,Netral,0
Dahliana noor,mantap,5,Puas,1
xbandung bandung,susah daftar,1,Tidak Puas,2
Permana Yaa,sebetulmya bagus drivernya gajelas tunggu banget telat teruuss kerja drivernya gimana siiii baca map aneh banget,1,Tidak Puas,2
Lathifah Abdillah,topup eh tbtb masuk cuman sisa uang mana tuh,3,Netral,0
Lodowik Djanoma,harga aplikasi pakai,5,Netral,0
Dede Juariah,pake apk buru otw saldo maxim karna cash eh jam masuk tuh duit sukses tf lumayan gede gua topup karna biar,1,Netral,0
Salahudin,login,2,Netral,0
Noval Nazli,susah banget cari driver nyaa karna murah ntah,1,Tidak Puas,2
Elevata gulo,sayank pesan mexim cansel alasa tarif sesuai tolong aplikasi atas langgan kecewa,1,Tidak Puas,2
Fahri Rosyid,bagus alhamdulillah,5,Puas,1
Heyroe Yislam,ya hp app maxim login sampe daftar pake nomor hp beda login tau pake hp samsung,3,Netral,0
Irfan Nugraha,bagus,5,Puas,1
Ziyan Alghifar,aplikasi buka mohon baik,1,Puas,1
Yosafat,bagus,5,Puas,1
Hanif Alfarizi,bagus,5,Puas,1
Tian Gustian,bagus aplikasi bantu,5,Puas,1
Abdurrahman,kode veripikasinya,1,Netral,0
Randi Setiawan,bismillah ijin gabung mitra keluarga driver maxim,5,Netral,0
Mangdung Famz,maxim ya apk tulis driver nyata driver jalan tolong perhati ya orang kondisi santai dapet driver pas tuju beliau cancel apk apk driver buka gamasuk akal,1,Tidak Puas,2
Deni,bosan tunggu,1,Netral,0
Syairraa,isi saldo masuk akun maxim ngadunya mana bukti tranfernya,1,Netral,0
subaidah rosok,login kode kirim kirim susah login,2,Tidak Puas,2
Sandi Supiandi,aplikasi mudah nyman murah jalan,5,Netral,0
ETERNAL FRONZY,apa voucher gratis janji pas sekolah gw kagak apa kasih gilir gw tahun nggak dapet nih nggak adil nih maxim kecewa gw ama nih aplikasi gw siswa apa tipu total nggak guna,1,Tidak Puas,2
Parikesit Sangha,map nga lengkap suka ngaco gila top saldo kaspro gila setress banget jam masuk saldo taikkk apk tres,1,Puas,1
Meytha Nugraheni,daftar bolak nggak kirim kode sampe nggak masuk apk kecewa,1,Tidak Puas,2
Siti Hajar,gabisa login ikutin instruksi pilih gambar tetep gabisa login buang buang kode otp masuk banget sampe jam jam sampe install ulang tetep gabisa login gimana aplikasi ko gabisa,1,Netral,0
Edi Taher,ok,5,Puas,1
Muhammad Fathi,install masuk tolong baik,1,Puas,1
Milaty azka,bagus cmn kali pesan makan porsi gaada pergi,4,Puas,1
Safri Irawan,cari drivernya sangaattt lamaaa sekaliiiiii ntah ojek pesan makan samaaa sajaaa aplikasi rusaaakkk,1,Netral,0
Lida Yohana,aplikasi lot kalo cencel ojol bikin bingung,1,Netral,0
Nugroho Kuswantoro,tinggal yogyakarta ojek online juli info ojek online maxim tarik unggah aplikasi mes maxim kejut ongkos rp jarak murah banding ongkos rendah rp bantu perlu tuju panggil maxim ongkos murah banding,4,Netral,0
Mazt Ariezt,knp maxim proses otp jam tunggu blm bs hari hadeh,3,Netral,0
Muji ajeh,fitur kamera bos buka daftar mulu banyak driver laparrrrrrr,5,Netral,0
ARACNI FK,salah mesan mesan update aplikasi,2,Tidak Puas,2
M Arifin,keren,5,Netral,0
Sindi Sintya,enak si ya murah kadang kalo harga buletin drivernya lelet pda lelet gatau apk stuck mapa jalan jalan tolong baik drivernya tolong hadehhh gereget deh,2,Tidak Puas,2
Supendi Fendi,top deh,5,Puas,1
Siti Khodjh,v,1,Netral,0
Dedi Agus,topup kaspro lamaa banget masuk saldonyaa,3,Netral,0
Depha andrade,kali nyari driver anjggg,1,Netral,0
Soviani Lach,aplikasi terkadang pas pesan drivernya lokasi tolong terkadang singkron ngaco ajh pas titik jemput kadang baik ya layan,4,Puas,1
Dedi Supriyadi,mantaap,5,Netral,0
Alexander Jeremias,klo masuk tlp salah maxim jdi gz bs,2,Tidak Puas,2
Bayu Rizkia,puas jangkau map,1,Puas,1
Septian adi,bantu bgt,5,Netral,0
Muhammad Faisal69,mantap,5,Puas,1
Nurman Hadi saputra,nyoba pakai maxim hebat drivernya ramah sopan kendara enak,5,Netral,0
Lidya Simanjuntak,wallet kaspro guna driver tolak saldo tarik,1,Netral,0
Kezya Kezya,maksim jls titik tmpt henti ngotot bilang sesuai titik,3,Netral,0
Tria Gabel,maxim ngapain kerjasama aplikasi kaspro aplikasi guna update premium sampe bulan jasa,1,Netral,0
sokabbb,muas ramah fokusin metode tunai biar enak,5,Netral,0
Johanes Win,tarif sahabat,5,Netral,0
Alvi Fauziana,kode login,2,Netral,0
de syifa,males ah oknum kembali paksa ngeihklasin kembali kembali rebu gin males,3,Netral,0
