userName,content,score,sentimen,sentimen_encoded,content_cleaned
Nur Syamsiyah,kali coba isi saldo maxim kaspro masuk saldo mohon tindak lanjut kecewa saldo masuk,1,Tidak Puas,2,kali coba isi saldo maxim kaspro masuk saldo mohon tindak lanjut kecewa saldo masuk
Kholil sanjaya,,5,Puas,1,
髮Kιʏoтᴀκᴀ. (Kaze),plss adain fitur krim foto,3,Netral,0,plss adain fitur krim foto
zehan alazzikra,kode busuk,1,Tidak Puas,2,kode busuk
Rahmat Hidayad Lubis,tolong bikin aplikasi,2,Tidak Puas,2,tolong bikin aplikasi
Amelia Syifa Fauziah,aplikasi sampah tipu,1,Tidak Puas,2,aplikasi sampah tipu
Rahman Abd,mantap,5,Puas,1,mantap
Hairu Lloh,bagus,4,Puas,1,bagus
Hasan,thks maxim jasa harga,5,Puas,1,thks maxim jasa harga
Idris Venus,konyol order kode rtp mele,1,Tidak Puas,2,konyol order kode rtp mele
Dede Imut,ko mendotar ya,4,Puas,1,ko mendotar ya
Angel Audilia putri,hujan supirnya kayak taiikkk bayar numpang,1,Tidak Puas,2,hujan supirnya kayak taiikkk bayar numpang
Nadia,kang ojek mes atitud mes akhlak dn tanggung kang ojek doang mandang fisik kyk ganteng aj,1,Tidak Puas,2,kang ojek mes atitud mes akhlak dn tanggung kang ojek doang mandang fisik kyk ganteng aj
Almira Riska,jelek banget kendara gila mabok ac gw memey puki banget astaga fukkc,1,Tidak Puas,2,jelek banget kendara gila mabok ac gw memey puki banget astaga fukkc
Yuka Nuriah Arinta,pake nomor hp gabisa otp tolong baik butuh bgt gin deh maxim,3,Netral,0,pake nomor hp gabisa otp tolong baik butuh bgt gin deh maxim
skyal Mondy,bayak tipu,1,Tidak Puas,2,bayak tipu
Gaskan Saja,aplikasi buruk lambat kerja tunggu pesan ojek motor tikung rumah ojek maxim kasi ojek maxim,1,Tidak Puas,2,aplikasi buruk lambat kerja tunggu pesan ojek motor tikung rumah ojek maxim kasi ojek maxim
Agung Supriatna,maps akurat kota,1,Tidak Puas,2,maps akurat kota
Inggit Anggraini,kasih ratingnya tolong tinjau sikap perilaku driver yaa jgn belaguuu kalo cape driver kerja tidur rumah nama kerja semuaaa capee bang kalo capee tidur dirmh jgn kerja sampe diturunin pinggir jalan drivernya mau sesuai titik kadang titik maxim sesuai titik beda meter anter drivernya najissss latih deh ya maxim biar performa turun model driver maless,1,Tidak Puas,2,kasih ratingnya tolong tinjau sikap perilaku driver yaa jgn belaguuu kalo cape driver kerja tidur rumah nama kerja semuaaa capee bang kalo capee tidur dirmh jgn kerja sampe diturunin pinggir jalan drivernya mau sesuai titik kadang titik maxim sesuai titik beda meter anter drivernya najissss latih deh ya maxim biar performa turun model driver maless
Ngatini,apas oon bgt login apknya gadapet kode nomor sesuai,1,Tidak Puas,2,apas oon bgt login apknya gadapet kode nomor sesuai
Rafa Rizqulloh,ui tarik kasih saldo pake,1,Tidak Puas,2,ui tarik kasih saldo pake
naira putri,dapet driver bener bener gajelas marahin nuker uang driver bener bener gasopan ngedumel marahin pergi kabur hak driver maxim marahin sayaa costumer bayar gratis tpi mya si driver numpang dikatain gausa sekolah sekolah sma driver maxim temu sreg hati maxim tu gimana,1,Tidak Puas,2,dapet driver bener bener gajelas marahin nuker uang driver bener bener gasopan ngedumel marahin pergi kabur hak driver maxim marahin sayaa costumer bayar gratis tpi mya si driver numpang dikatain gausa sekolah sekolah sma driver maxim temu sreg hati maxim tu gimana
prabu indra Lesmana,cs ramah,1,Tidak Puas,2,cs ramah
andra tnunay01,kantor maxim sedia sewa motor listrik ojek online,5,Puas,1,kantor maxim sedia sewa motor listrik ojek online
Ikbal Aditia Maulana,suka aplikasi maxim ojek transportasi pt sito,5,Puas,1,suka aplikasi maxim ojek transportasi pt sito
Nino Raffie,susah kali cari order pesan terima,5,Puas,1,susah kali cari order pesan terima
Netty Spd,aplikasi maxim ojek transportasi pt sito,5,Puas,1,aplikasi maxim ojek transportasi pt sito
AweL 999,ongkos murah aman jalan,5,Puas,1,ongkos murah aman jalan
Indra Jaya,aplikasi bikin pusing susah nyari titik maps,1,Tidak Puas,2,aplikasi bikin pusing susah nyari titik maps
Ricki Vickris,maxim mobil delevery parkir persis depan toko maxim bangka belitung pangkalpinang bantu konsumen angkat barang mobil suruh sendri angkat ramah,1,Tidak Puas,2,maxim mobil delevery parkir persis depan toko maxim bangka belitung pangkalpinang bantu konsumen angkat barang mobil suruh sendri angkat ramah
nuri Maulida Hasanah,kecewa maxim seko maxim sekolah saldo maxim pulang sekolah maxim saldo sampe tuju uang ganti bayar saldo ribu uang sekolah uang sekolah habis karna bayar maxim,1,Tidak Puas,2,kecewa maxim seko maxim sekolah saldo maxim pulang sekolah maxim saldo sampe tuju uang ganti bayar saldo ribu uang sekolah uang sekolah habis karna bayar maxim
Irfan Rujani,nginap hotel pelangi banjarmasin order makan nerima,1,Tidak Puas,2,nginap hotel pelangi banjarmasin order makan nerima
Fatimah,driverrr jelekk banget berangkat grab lokasi pas maxim biaya tambah bayar ayah ku sampe adu bacot ama driver trus klo ajak ngobrol pas jalan tangepin beda banget ama driver grap ramah ngeselin banget abis pulang capek trus adu bacot ama driver gilakk jelek benget layan driver preman,1,Tidak Puas,2,driverrr jelekk banget berangkat grab lokasi pas maxim biaya tambah bayar ayah ku sampe adu bacot ama driver trus klo ajak ngobrol pas jalan tangepin beda banget ama driver grap ramah ngeselin banget abis pulang capek trus adu bacot ama driver gilakk jelek benget layan driver preman
AZIZAH MAYANG,aplikasi bagus,5,Puas,1,aplikasi bagus
Gandi Alim,peta maxim kacau kirim alamat kecewa maxim rubah bintang map baik,1,Tidak Puas,2,peta maxim kacau kirim alamat kecewa maxim rubah bintang map baik
arfin arahim,scam dapet,1,Tidak Puas,2,scam dapet
Rio Oktimas,,5,Puas,1,
Luh putu mutiara Dewi Mutiara dewi,php innnn ihhh dasarrrr,1,Tidak Puas,2,php innnn ihhh dasarrrr
Pandi Putra jaya,bantu,5,Puas,1,bantu
Fatih Rasendra,goblo sistem gw daftar g masuk masuk kode otp anj,1,Tidak Puas,2,goblo sistem gw daftar g masuk masuk kode otp anj
Andra Nur Syifa yoga Permana,kasih bintang harga turunin harga maxim,3,Netral,0,kasih bintang harga turunin harga maxim
JONI HP,top kaspro masuk masuk,5,Puas,1,top kaspro masuk masuk
Tata Xvarzz,apk kirim kode,1,Tidak Puas,2,apk kirim kode
Nyaho Sia,semenjak bawa pulang orang sakit paska rawat inap car maxim online satu nerima semenjak order alih aplikasi hijau respon cepat efisien,1,Tidak Puas,2,semenjak bawa pulang orang sakit paska rawat inap car maxim online satu nerima semenjak order alih aplikasi hijau respon cepat efisien
09_ Deva Zaskia,bagus,4,Puas,1,bagus
Victor Gaming,lokasi sesuai sulit temu lokasi pas karna map sesuai,2,Tidak Puas,2,lokasi sesuai sulit temu lokasi pas karna map sesuai
Sii Otet's,akun buka salah order parah aplikasi pdahal gin,1,Tidak Puas,2,akun buka salah order parah aplikasi pdahal gin
Rusni Yusram,aplikasi kaspronya amburadul pake bayar kas pro masuk driver bayar tunai kaspronya potong bayar dobel kaspro tunai hubung driver riwayat chat driver,1,Tidak Puas,2,aplikasi kaspronya amburadul pake bayar kas pro masuk driver bayar tunai kaspronya potong bayar dobel kaspro tunai hubung driver riwayat chat driver
Rian Edo,apk nyocot ribet masukin kode otp notif pake kereset telat,1,Tidak Puas,2,apk nyocot ribet masukin kode otp notif pake kereset telat
Frans Lavina,,5,Puas,1,
anindira nepi,,5,Puas,1,
Darman Yusuf,kren,4,Puas,1,kren
Zif Asli,perfect,5,Puas,1,perfect
Kasianto Jokam,mf ya tarif aplikasi murah turun jd pakai maxim bandara jkt,1,Tidak Puas,2,mf ya tarif aplikasi murah turun jd pakai maxim bandara jkt
Oxana Angel,map lengkap,2,Tidak Puas,2,map lengkap
tofik kasrun,banyakin promonya,5,Puas,1,banyakin promonya
Deden Japarr,mantaaap,5,Puas,1,mantaaap
Desta Supriandi,,5,Puas,1,
jemi aja,ngelag gabisa masuk nomer,1,Tidak Puas,2,ngelag gabisa masuk nomer
BakriSibali Bakri,bantu,5,Puas,1,bantu
Ngapak Gaming,titik lokasi kadang ngr bug,2,Tidak Puas,2,titik lokasi kadang ngr bug
Devi Dwi Saputri,order masuk nomor hp masuk tampil kode kirim nomor hp kode masuk pesan nomor hp ku pilih opsi terima kode telpon telpon masuk terima dengar suara apa mohon bantu asap,1,Tidak Puas,2,order masuk nomor hp masuk tampil kode kirim nomor hp kode masuk pesan nomor hp ku pilih opsi terima kode telpon telpon masuk terima dengar suara apa mohon bantu asap
Berkah melimpah,driver ngeselin,1,Tidak Puas,2,driver ngeselin
Wandi Rahmayanto,tolong tingkat layan admin login susah kali kode login aplikasi rame minat parah,1,Tidak Puas,2,tolong tingkat layan admin login susah kali kode login aplikasi rame minat parah
Adif Laksana,problem susah banget kaspro jam inj masuk kendala spt tolong baik,1,Tidak Puas,2,problem susah banget kaspro jam inj masuk kendala spt tolong baik
Namira Aulia Bungaadjim,tolong baik app order makan layar app ngebug cari terima pesan layar mes makan pas layar utama terima order chat wa double order uang bayar tida minjem tmn tolong upgrade,1,Tidak Puas,2,tolong baik app order makan layar app ngebug cari terima pesan layar mes makan pas layar utama terima order chat wa double order uang bayar tida minjem tmn tolong upgrade
Muhammad Muhammad,parah maps apk,5,Puas,1,parah maps apk
hai semuanya,kesel bgt sm layan drivernya maxim kl ngasih promo pastiin jg ojolnya g rugi iya protes ngeluh murah tarif kl bkin promo tu ya cust makek promonya krna potong referral protes jg gbsa ngatur tarif sumpah gedeg bgt kayak gin mending apus promonya plg ngeselin tu kdg diakalin tarif dr jd kl tip servicenya jelek krn bohongin,2,Tidak Puas,2,kesel bgt sm layan drivernya maxim kl ngasih promo pastiin jg ojolnya g rugi iya protes ngeluh murah tarif kl bkin promo tu ya cust makek promonya krna potong referral protes jg gbsa ngatur tarif sumpah gedeg bgt kayak gin mending apus promonya plg ngeselin tu kdg diakalin tarif dr jd kl tip servicenya jelek krn bohongin
Gratia Queenester,aplikasi bagus murah suka,5,Puas,1,aplikasi bagus murah suka
Stiven Pudikarang,aplikasi bodoh kode verifikasi ngk timbul baik aplikasi,2,Tidak Puas,2,aplikasi bodoh kode verifikasi ngk timbul baik aplikasi
Rasya Wijaya,isi ewalet masuk,1,Tidak Puas,2,isi ewalet masuk
Upin ipon,login otp muncul,1,Tidak Puas,2,login otp muncul
Alexis Yulianto,tipu apl maxim order,5,Puas,1,tipu apl maxim order
Alkansah Ariska,maaf saran alamat perinci susah nyarinya diturunin sampe sasuai,3,Netral,0,maaf saran alamat perinci susah nyarinya diturunin sampe sasuai
Veranita,cari driver anter barang dapet dicancel krn driver e wallet kali ken tunai haru driver donk kaya gojek grab nolak kl pakai gopay ovo,2,Tidak Puas,2,cari driver anter barang dapet dicancel krn driver e wallet kali ken tunai haru driver donk kaya gojek grab nolak kl pakai gopay ovo
RedSkins LastWar,suka pake bonus niat kasih bonus rupiah bikin program tipu,1,Tidak Puas,2,suka pake bonus niat kasih bonus rupiah bikin program tipu
hanya belanja,good job,5,Puas,1,good job
Muji Yanto,dar masuk maps koordinat alamat kadang ngak maps,4,Puas,1,dar masuk maps koordinat alamat kadang ngak maps
Yudi Hidayat,maxim kesini gue login pake nomer gue masuk masuk ngirim kode otp redup lu maxim jelek apk,1,Tidak Puas,2,maxim kesini gue login pake nomer gue masuk masuk ngirim kode otp redup lu maxim jelek apk
aby gun,gw topup bayar non tunai tpi pas mes makan bisah pakek saldo maxim aneh sya ngerti karna tdk pnjelasan tincihan apk maksim apakh klo daerah fitur bayar nontunainya aktif kayak gin jdi bisah makan uang masuk saldo tarik beli makan jg bisah mndingan jalan sndiri beli warung byar qriss nyesel gw maxim karma laku ya,1,Tidak Puas,2,gw topup bayar non tunai tpi pas mes makan bisah pakek saldo maxim aneh sya ngerti karna tdk pnjelasan tincihan apk maksim apakh klo daerah fitur bayar nontunainya aktif kayak gin jdi bisah makan uang masuk saldo tarik beli makan jg bisah mndingan jalan sndiri beli warung byar qriss nyesel gw maxim karma laku ya
Gream Xanzz,suka suruh tambah duit cepat anjir klo gitu mulu nolak duit hdehh hapus sistem,1,Tidak Puas,2,suka suruh tambah duit cepat anjir klo gitu mulu nolak duit hdehh hapus sistem
Maulana Ar ridwan,muas,5,Puas,1,muas
Domi Yumai,,5,Puas,1,
Gia Setiawan,moga taripnya murah biar hrmat okos slm sehat sukses amin,5,Puas,1,moga taripnya murah biar hrmat okos slm sehat sukses amin
yuliana afifah alydrus,harga ny jangkau order ny,5,Puas,1,harga ny jangkau order ny
Tegoh 13,mantap,5,Puas,1,mantap
Hanif Yudhi Pratama,order fiktif kasi driver juang jaga etika driver tolong user tumpang order fiktif cari uang amanah order fiktif jaga agama alam kubur tagih malaikat cam ya,5,Puas,1,order fiktif kasi driver juang jaga etika driver tolong user tumpang order fiktif cari uang amanah order fiktif jaga agama alam kubur tagih malaikat cam ya
ADLI MARTA,capek elok,5,Puas,1,capek elok
Adɪ ɴʋɢʀɵʜɵ,abang genit banget tumpang cewek tolong sop tingkat lagi maxim,1,Tidak Puas,2,abang genit banget tumpang cewek tolong sop tingkat lagi maxim
Delsi mahmud,maxim ya kode otp mah eror sen stag jalan jalan abang gimna nih kode otpnya donk,5,Puas,1,maxim ya kode otp mah eror sen stag jalan jalan abang gimna nih kode otpnya donk
Iwan Setiawan,aplikasi order,1,Tidak Puas,2,aplikasi order
Jihan shoofi manan,senggol mobil maxim karna mud hati hati temen tunggu jemput sekolah smk batam cat calling driver motor maxim,1,Tidak Puas,2,senggol mobil maxim karna mud hati hati temen tunggu jemput sekolah smk batam cat calling driver motor maxim
Muhammad Royhan Ramadhan,driver upah bayangin order lokasi tetep ambil upah tolong naik saldo minim jarak ling deket,2,Tidak Puas,2,driver upah bayangin order lokasi tetep ambil upah tolong naik saldo minim jarak ling deket
Jackal Sika,good,5,Puas,1,good
vayfel evfron,saldo akun nd beking tacolo orang,1,Tidak Puas,2,saldo akun nd beking tacolo orang
Yasintaprenu Prenusinta,,5,Puas,1,
Mayang Mey,plis dgedein dibedain tanda driver maps liat kak,3,Netral,0,plis dgedein dibedain tanda driver maps liat kak
Dwi Agustina,cool,5,Puas,1,cool
Ajiss Lz,tk bise daftr gedok,1,Tidak Puas,2,tk bise daftr gedok
Label Preloved,mantap moga maxim ternate maju jaya,5,Puas,1,mantap moga maxim ternate maju jaya
lokong ae,order fiktif rajalela mohon baik guna per kontak hubung banyak order hubung nomor tlp,2,Tidak Puas,2,order fiktif rajalela mohon baik guna per kontak hubung banyak order hubung nomor tlp
Nur Aini,,5,Puas,1,
Eka Pramuning dita,mantap murah,5,Puas,1,mantap murah
Rina,mobil mahal hujan tolong sedia fitur blokir blokir driver suka jujur nyaman kemudi motor wartawan,3,Netral,0,mobil mahal hujan tolong sedia fitur blokir blokir driver suka jujur nyaman kemudi motor wartawan
Anugrah Anugrah,tolong maxim pas ngasih titik lokasi tuh bener nunggu menit gara driver muter muter rugi banget tolong baik driver tau jalan minimal buka google map patok map maxim,1,Tidak Puas,2,tolong maxim pas ngasih titik lokasi tuh bener nunggu menit gara driver muter muter rugi banget tolong baik driver tau jalan minimal buka google map patok map maxim
Gustiantie Pue,good driver good service,5,Puas,1,good driver good service
Shilfa irziani Kamal,males taun taun pake kirain maju ngga driver maju maju rumah org kerja telat,3,Netral,0,males taun taun pake kirain maju ngga driver maju maju rumah org kerja telat
mr jo,masuk order maxim kendara motor busuk driver bau,1,Tidak Puas,2,masuk order maxim kendara motor busuk driver bau
Agus Sutrisno,puas,5,Puas,1,puas
Dolip Firmansah,good,5,Puas,1,good
erfandra erlang,overall bagus woi notifnya bikin jantung,2,Tidak Puas,2,overall bagus woi notifnya bikin jantung
Adi Pamungkas,ok,5,Puas,1,ok
erwan sanusi,tau karna gue kasih bintang karna kode otp ny eror masuk apk cocok mending pakek grab,1,Tidak Puas,2,tau karna gue kasih bintang karna kode otp ny eror masuk apk cocok mending pakek grab
Wilbert Huang,jujur banget kecewa banget cs sikap driver lebih argo,1,Tidak Puas,2,jujur banget kecewa banget cs sikap driver lebih argo
Rijwan muhamad,sen ade gada fitur batak kocak biar orang orang kalo pencet dibatalin sen kirim mutlak,1,Tidak Puas,2,sen ade gada fitur batak kocak biar orang orang kalo pencet dibatalin sen kirim mutlak
Diya sakdiya,ok,5,Puas,1,ok
GuP Gocoor,aplikasi ko delay mintak kode verifikasi bikin susah nomor bener,1,Tidak Puas,2,aplikasi ko delay mintak kode verifikasi bikin susah nomor bener
Afrita Bili,bgss,5,Puas,1,bgss
Tuti Lestari,ok,4,Puas,1,ok
PUTRRA MITRA86 Sks,ok,5,Puas,1,ok
Vlaska Lovnia,aplikasi ya selesai order end trip order otomatis ya hp lock,1,Tidak Puas,2,aplikasi ya selesai order end trip order otomatis ya hp lock
Paris Paris,per online harga,1,Tidak Puas,2,per online harga
Ganteng Keren,ok,5,Puas,1,ok
YULI LIYU,maxim nomor hp terus daftar tolong baru lg,1,Tidak Puas,2,maxim nomor hp terus daftar tolong baru lg
Netizen Jaya,aplikasi kejam driver numpang iklan gede gedein kasih tip stiker untung keruk maxim driver mesin atm,1,Tidak Puas,2,aplikasi kejam driver numpang iklan gede gedein kasih tip stiker untung keruk maxim driver mesin atm
Ariyanto Ari,murah sesuai transportasi butuh masyarakat,5,Puas,1,murah sesuai transportasi butuh masyarakat
Adea Putri,mohon maaf kasi bintang dapet driver baik ya pelayanannyaaa,1,Tidak Puas,2,mohon maaf kasi bintang dapet driver baik ya pelayanannyaaa
Viv Dya669,maxim driver bandara soetta bayar online bayar tol bayar ribu biaya akomodasi driver konyol abis hapus riwayat nih drivernya,2,Tidak Puas,2,maxim driver bandara soetta bayar online bayar tol bayar ribu biaya akomodasi driver konyol abis hapus riwayat nih drivernya
Rico Hadi Febrian,bantu,5,Puas,1,bantu
Sampang Berutu,order langsung dpt driver bgt jemput gerak menit map gerak chat cancel driver cash pdhl sya pake sistim kaspro rugi driver,1,Tidak Puas,2,order langsung dpt driver bgt jemput gerak menit map gerak chat cancel driver cash pdhl sya pake sistim kaspro rugi driver
Bumi,buka aplikasi lamo,1,Tidak Puas,2,buka aplikasi lamo
Ameliarossi,sya order maxim bike rute smpe kdang sya khawatir klo psesnin ank takut bawa kabur ank sya klo pas ambil order jngan mati rute pantau hp,3,Netral,0,sya order maxim bike rute smpe kdang sya khawatir klo psesnin ank takut bawa kabur ank sya klo pas ambil order jngan mati rute pantau hp
Ady Chandra,kirim kode otp via sms gagal kali gagal dah aplikasi da opsi laen,1,Tidak Puas,2,kirim kode otp via sms gagal kali gagal dah aplikasi da opsi laen
Ratih Putri C,otp tolong baik kesini otp,2,Tidak Puas,2,otp tolong baik kesini otp
